Rank,Player,Club,Nationality,Stat
3,Steven Alzate,,Colombia,897
3,Tariq Lamptey,Brighton & Hove Albion,Ghana,889
3,Jack Robinson,Sheffield United,England,875
3,Martin Ødegaard,,Norway,866
3,Harry Winks,,England,861
3,Mohammed Salisu,Southampton,Ghana,842
3,Ahmed El Mohamady,,Egypt,833
3,Javier Manquillo,Newcastle United,Spain,826
3,Raúl Jiménez,Wolverhampton Wanderers,Mexico,824
3,James McCarthy,,Ireland,823
3,Kieran Gibbs,,England,810
3,Josh Maja,Fulham,Nigeria,809
3,Ozan Kabak,,Turkey,803
3,Nathan Aké,Manchester City,Netherlands,797
3,Aaron Connolly,,Ireland,790
3,Branislav Ivanovic,West Bromwich Albion,Serbia,767
3,Tom Cairney,Fulham,Scotland,759
3,Calum Chambers,,England,752
3,Marvelous Nakamba,,Zimbabwe,751
3,Olivier Giroud,,France,747
3,Cédric Soares,,Portugal,745
3,Nathan Tella,,England,742
3,Joe Rodon,,Wales,732
3,Billy Sharp,Sheffield United,England,730
3,Dennis Praet,Leicester City,Belgium,723
3,Michy Batshuayi,,Belgium,722
3,Fraser Forster,,England,720
3,Daniel Amartey,,Ghana,719
3,Mark Noble,,England,706
3,Erik Lamela,,Argentina,704
3,Christian Fuchs,,Austria,702
3,Joël Matip,Liverpool,Cameroon,691
3,Alex Telles,,Brazil,691
3,Joe Bryan,,England,665
3,Rhys Williams,Liverpool,England,660
3,Jakub Moder,Brighton & Hove Albion,Poland,648
3,Kevin Long,,Ireland,636
3,Kortney Hause,,England,630
3,Robin Olsen,,Sweden,630
3,Tim Ream,Fulham,United States,630
3,Marçal,,Brazil,621
3,Dele Alli,,England,618
3,Jacob Ramsey,Aston Villa,England,617
3,Joe Gomez,Liverpool,England,590
3,Gabriel Martinelli,Arsenal,Brazil,587
3,Kepa Arrizabalaga,Chelsea,Spain,585
3,Ki-Jana Hoever,,Netherlands,574
3,Ryan Fredericks,,England,567
3,Manuel Lanzini,West Ham United,Argentina,560
3,Sergio Agüero,,Argentina,558
3,Xherdan Shaqiri,,Switzerland,553
3,James Tomkins,Crystal Palace,England,552
3,Max Lowe,,England,551
3,Hal Robson-Kanu,West Bromwich Albion,Wales,546
3,Filip Krovinovic,,Croatia,544
3,Robert Snodgrass,,Scotland,531
3,Phil Jagielka,,England,527
3,Alireza Jahanbakhsh,,Iran,523
3,Naby Keïta,Liverpool,Guinea,523
3,Ben Johnson,,England,517
3,Vitinha,,Portugal,513
3,Donny van de Beek,Manchester United,Netherlands,513
3,Juan Mata,,Spain,509
3,Dwight Gayle,,England,505
3,Jonny,Wolverhampton Wanderers,Spain,499
3,Japhet Tanganga,Tottenham Hotspur,England,488
3,Jamie Shackleton,,England,455
3,Bernard,,Brazil,449
3,DeAndre Yedlin,,United States,437
3,Pablo Hernández,,Spain,417
3,Eddie Nketiah,Arsenal,England,414
4,Morgan Gibbs-White,,England,410
4,Axel Tuanzebe,,England,402
4,Andy Carroll,,England,383
4,Eric García,,Spain,380
4,Matty Longstaff,,England,377
4,Josh Onomah,,England,372
4,Virgil van Dijk,Liverpool,Netherlands,371
4,Andrii Yarmolenko,,Ukraine,363
4,Bailey Peacock-Farrell,,Northern Ireland,360
4,Ian Poveda-Ocampo,,England,344
4,Hamza Choudhury,,England,314
4,Aboubakar Kamara,,Mauritania,310
4,Carlos Vinícius,,Brazil,305
4,Morgan Sanson,,France,291
4,Lys Mousset,,France,289
4,Daniel Jebbison,,England,284
4,Mamadou Sakho,,France,275
4,Cengiz Ünder,,[object Object],274
4,Phil Bardsley,,Scotland,273
4,Kiko Casilla,,Spain,270
4,Jimmy Dunne,,Ireland,270
4,Denis Odoi,,Ghana,270
4,Darren Randolph,,Ireland,270
4,Adrián,Liverpool,Spain,270
4,Keinan Davis,,England,266
4,Michael Hector,,Jamaica,264
4,Josh Benson,,England,261
4,Fabian Delph,,England,261
4,Billy Gilmour,,Scotland,259
4,Dale Stephens,Burnley,England,258
4,Fábio Carvalho,,Portugal,255
4,Neco Williams,,Wales,248
4,Alex Oxlade-Chamberlain,Liverpool,England,244
